dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 00:02:00,h28740c1:2,"[2189.3042560659414, 1758.1888214898702]","[13.54923085642225, 52.43829485171036]",37.31896244007737,:cluster_150756867_237252932_9,:cluster_150756867_237252932_9_0,1032.72,59.6,15
2022-12-04 00:02:00,h46449c1:6,"[1051.4254410464134, 1804.7647188655005]","[13.53248350790873, 52.43850695321299]",40.64450181927441,91218505#1,91218505#1_0,2094.28,317.78,15
2022-12-04 00:02:00,h49928c1:5,"[2556.081377992611, 1964.9203695923054]","[13.554563846209156, 52.44021889027711]",39.881248617883294,-147053824#1,-147053824#1_0,2968.66,61.91,15
2022-12-04 00:02:00,h5661c1:8,"[2574.932900605717, 1974.980408388889]","[13.554838128900938, 52.44031269274077]",42.63898972150903,-147053824#1,-147053824#1_0,2398.73,61.91,15
2022-12-04 00:02:00,h58518c1:2,"[1477.5136697448688, 1366.9226353175352]","[13.538879705899355, 52.43464950822921]",44.56697384982689,318210389#0,318210389#0_0,2194.0,238.84,15
2022-12-04 00:02:00,h66618c1:2,"[1067.5099724453396, 2129.3055141937443]","[13.532623129837395, 52.44142664502296]",52.13169483557396,153021545#2,153021545#2_0,2225.2,318.63,15
2022-12-04 00:02:00,h98782c1:2,"[916.6964617477016, 1947.5032923495403]","[13.530459515490893, 52.439765184861415]",28.031976114839203,:1652675141_9,:1652675141_9_0,2608.99,276.13,15
2022-12-04 00:02:00,randUni1338:1,"[1243.5046778647404, 1587.2386492208634]","[13.535373037121492, 52.436586994063816]",46.13558300336425,334308447#5,334308447#5_0,2150.65,317.85,15
2022-12-04 00:02:00,randUni26990:1,"[2041.3349691944522, 1678.4385901603885]","[13.547078415381943, 52.43755138672168]",27.63696027903327,178028204#1,178028204#1_0,1535.45,240.79,15
2022-12-04 00:02:00,randUni33449:1,"[1852.2612445368522, 1383.337666128157]","[13.544385378032588, 52.43486500312851]",44.30406549068877,23925124#1,23925124#1_0,2130.15,141.53,15
2022-12-04 00:02:00,randUni65347:1,"[1940.6447930747588, 1622.0698013969024]","[13.545614385124653, 52.437026574829865]",28.21713998366228,178028204#2,178028204#2_0,1621.37,240.53,15
2022-12-04 00:02:00,randUni79826:1,"[2710.6944638051123, 3035.512321110336]","[13.556523147838861, 52.4498685247861]",30.935366002437387,311299992#0,311299992#0_0,3562.09,110.98,15
2022-12-04 00:02:00,randUni92267:1,"[2733.793777819079, 1442.808090668652]","[13.557330682119886, 52.435558359070214]",22.668184444284798,:1597984670_5,:1597984670_5_0,2122.29,322.59,15
2022-12-04 00:02:00,randUni92883:1,"[3079.985782542249, 2691.6104383675424]","[13.562056037811868, 52.44684391017057]",31.677424720868924,-65538633#1,-65538633#1_0,4058.47,153.17,15
2022-12-04 00:02:00,randUni96823:1,"[1859.5323848182013, 1572.4571701523928]","[13.544436285309734, 52.436566009577206]",27.04593562752944,-178028204#7,-178028204#7_0,1803.01,59.62,15
2022-12-04 00:03:00,h28740c1:2,"[2873.9075539200935, 2138.342085897675]","[13.559187137851167, 52.441834551098076]",45.85956330018237,-11389403#0,-11389403#0_0,1815.88,61.31,9
2022-12-04 00:03:00,h46449c1:6,"[420.4825495589761, 2511.78422320969]","[13.522992455203989, 52.444745624828634]",66.98832483871278,1051728169,1051728169_0,3041.9,318.32,9
2022-12-04 00:03:00,h49928c1:5,"[3100.570434965001, 2538.675246902434]","[13.562403569481788, 52.44547309524665]",52.42799422195737,204977490#1,204977490#1_1,3811.25,29.22,9
2022-12-04 00:03:00,h5661c1:8,"[2671.870451604521, 2265.321791883136]","[13.55617843660984, 52.44293952895029]",22.56241292810901,-140964909#1,-140964909#1_0,2799.4,345.01,9
2022-12-04 00:03:00,h58518c1:2,"[1087.1949503754702, 988.1935912504274]","[13.53325325454305, 52.43117467540923]",46.525898449616705,670062907#2,670062907#2_0,2738.34,226.27,9
2022-12-04 00:03:00,h98782c1:2,"[676.4273506002961, 1529.58977836493]","[13.527051328608255, 52.435965298557626]",30.250161084556314,:2648427272_0,:2648427272_0_0,3202.11,228.01,9
2022-12-04 00:03:00,randUni26990:1,"[1657.4132671216018, 1465.5232954980581]","[13.541495802850601, 52.43556832927131]",0.0,45875465,45875465_0,1974.97,240.82,9
2022-12-04 00:03:00,randUni33449:1,"[2356.632369518444, 1606.2097722623778]","[13.551736362019016, 52.43695911871521]",24.954752830195392,25771472#1,25771472#1_0,2737.07,58.43,9
2022-12-04 00:03:00,randUni96823:1,"[2281.1601832512642, 1811.7417479649523]","[13.550565885603453, 52.4387927195873]",46.34169583146397,-147053824#5,-147053824#5_0,2287.87,59.8,9
2022-12-04 00:04:00,h28740c1:2,"[2953.014316028503, 2656.823059062467]","[13.560198632376512, 52.446508536554745]",49.214550387292434,238053688#0,238053688#0_1,2538.73,318.36,5
2022-12-04 00:04:00,h49928c1:5,"[2416.8275466100226, 2848.01586830279]","[13.552255690812473, 52.44813057634603]",52.33940034539064,-363443436,-363443436_0,4624.51,290.26,5
2022-12-04 00:04:00,h58518c1:2,"[682.378875149629, 1088.8311602295223]","[13.527270927774428, 52.43200514967273]",45.29765823376385,142575692#3,142575692#3_0,3361.32,333.44,5
2022-12-04 00:04:00,randUni26990:1,"[1298.32769676334, 1198.3699843923007]","[13.536295044773883, 52.433102076272114]",48.705794102646806,:cluster_30618470_36268429_0,:cluster_30618470_36268429_0_0,2426.63,226.71,5
2022-12-04 00:04:00,randUni96823:1,"[2945.413478239739, 2177.67053095915]","[13.560227261973777, 52.442200822412865]",46.10448258197803,25042028#0,25042028#0_0,3046.4,50.32,5
2022-12-04 00:05:00,h28740c1:2,"[2730.162763210024, 3031.4758777482534]","[13.556810708801745, 52.44983574280988]",26.016687848089415,-311299992#0,-311299992#0_0,3076.88,290.98,2
2022-12-04 00:05:00,randUni26990:1,"[1120.1275320201803, 773.1297757142946]","[13.533801628847215, 52.42924782690927]",30.5787869961296,143308505#0,143308505#0_0,3011.48,139.51,2
